participantId,trialGroupId,trial,eventType,eventIndex,t,timestamp,details
P008,TG_1769640656174_04f4790c3e926,START,trial_end,,2017,2026-01-28T22:50:58.513Z,"{""totalResponseTime"":2017}"
P008,TG_1769640656174_04f4790c3e926,L1,trial_end,,15133,2026-01-28T22:51:13.964Z,"{""responseTime"":15133,""answer"":""B""}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,0,4,2026-01-28T22:51:44.431Z,"{""time"":""17:00"",""index"":0,""src"":""img/kompozit_20260125_1700.png"",""timestamp"":4}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,1,17310,2026-01-28T22:51:44.431Z,"{""time"":""18:00"",""index"":1,""src"":""img/kompozit_20260125_1800.png"",""timestamp"":17310}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,2,19293,2026-01-28T22:51:44.431Z,"{""time"":""19:00"",""index"":2,""src"":""img/kompozit_20260125_1900.png"",""timestamp"":19293}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,3,20793,2026-01-28T22:51:44.431Z,"{""time"":""20:00"",""index"":3,""src"":""img/kompozit_20260125_2000.png"",""timestamp"":20793}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,4,21843,2026-01-28T22:51:44.431Z,"{""time"":""21:00"",""index"":4,""src"":""img/kompozit_20260125_2100.png"",""timestamp"":21843}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,5,23093,2026-01-28T22:51:44.431Z,"{""time"":""22:00"",""index"":5,""src"":""img/kompozit_20260125_2200.png"",""timestamp"":23093}"
P008,TG_1769640656174_04f4790c3e926,L2,image_view,6,25360,2026-01-28T22:51:44.431Z,"{""time"":""23:00"",""index"":6,""src"":""img/kompozit_20260125_2300.png"",""timestamp"":25360}"
P008,TG_1769640656174_04f4790c3e926,L2,trial_end,,29944,2026-01-28T22:51:44.431Z,"{""responseTime"":29944,""answer"":""A""}"
P008,TG_1769640656174_04f4790c3e926,unknown,trial_end,,16510,2026-01-28T22:52:01.464Z,"{""responseTime"":16510,""type"":""NASA_TLX"",""tlxBlock"":""LOW""}"
P008,TG_1769640656174_04f4790c3e926,PAUSE,trial_end,,1362,2026-01-28T22:52:03.349Z,"{""totalResponseTime"":1362,""type"":""BREAK""}"
P008,TG_1769640656174_04f4790c3e926,H1,image_view,0,3,2026-01-28T22:52:28.699Z,"{""mode"":""static"",""time"":""21:00"",""index"":0,""src"":""img/kompozit_20260125_2100.png"",""timestamp"":3}"
P008,TG_1769640656174_04f4790c3e926,H1,image_view,1,14838,2026-01-28T22:52:28.699Z,"{""mode"":""static"",""time"":""22:00"",""index"":1,""src"":""img/kompozit_20260125_2200.png"",""timestamp"":14838}"
